instance_type, cpu_cores, mem_capacity
t2.nano, 1, 0.5
t2.micro, 1, 1
t2.small, 1, 2
t2.medium, 2, 4
t2.large, 2, 8 
m4.large,2,8
m4.xlarge,4,16
m4.2xlarge,8,32
m4.4xlarge,16,64
m4.10xlarge,40,160
m3.medium,1,3.75
m3.large,2,7.5
m3.xlarge,4,15
m3.2xlarge,8,30
c4.large,2,3.75
c4.xlarge,4,7.5
c4.2xlarge,8,15
c4.4xlarge,16,30
c4.8xlarge,36,60
c3.large,2,3.75
c3.xlarge,4,7.5
c3.2xlarge,8,15
c3.4xlarge,16,30
x1.32xlarge,128,1952
r3.large,2,15.25
r3.xlarge,4,30.5
r3.2xlarge,8,61
r3.4xlarge,16,122
r3.8xlarge,32,244
g2.2xlarge,8,15
g2.8xlarge,32,60
i2.xlarge,4,30.5
i2.2xlarge,8,61
i2.4xlarge,16,122
i2.8xlarge,32,244
d2.xlarge,4,30.5
d2.2xlarge,8,61
d2.4xlarge,16,122
d2.8xlarge,36,244
