eventName,errorCode,action,status
DeleteUser,AccessDenied,deleted,failure
DeleteUser,success,deleted,success
DeleteUser,*,deleted,failure
DeleteUserPolicy,AccessDenied,modified,failure
DeleteUserPolicy,success,modified,success
DeleteUserPolicy,*,modified,failure
PutUserPolicy,AccessDenied,modified,failure
PutUserPolicy,success,modified,success
PutUserPolicy,*,modified,failure
CreateUser,AccessDenied,created,failure
CreateUser,success,created,success
CreateUser,*,created,failure
CreateSecurityGroup,Client.UnauthorizedOperation,created,failure
CreateSecurityGroup,success,created,success
CreateSecurityGroup,*,created,failure
RevokeSecurityGroupIngress,Client.UnauthorizedOperation,deleted,failure
RevokeSecurityGroupIngress,success,deleted,success
RevokeSecurityGroupIngress,*,deleted,failure
AuthorizeSecurityGroupIngress,Client.UnauthorizedOperation,modified,failure
AuthorizeSecurityGroupIngress,success,modified,success
AuthorizeSecurityGroupIngress,*,modified,failure
AssumeRole,success,success,success
AssumeRole,*,failure,failure
AssumeRoleWithSAML,success,success,success
AssumeRoleWithSAML,*,failure,failure
AssumeRoleWithWebIdentity,success,success,success
AssumeRoleWithWebIdentity,*,failure,failure
GetFederationToken,success,success,success
GetFederationToken,*,failure,failure
GetSessionToken,success,success,success
GetSessionToken,*,failure,failure
DeleteEndpoint,success,deleted,success
DeleteEndpoint,*,unknown,failure
AddClientIDToOpenIDConnectProvider,success,created,success
AddClientIDToOpenIDConnectProvider,*,unknown,failure
AddRoleToInstanceProfile,success,created,success
AddRoleToInstanceProfile,*,unknown,failure
AddUserToGroup,success,created,success
AddUserToGroup,*,unknown,failure
AttachGroupPolicy,success,modified,success
AttachGroupPolicy,*,unknown,failure
AttachRolePolicy,success,modified,success
AttachRolePolicy,*,unknown,failure
AttachUserPolicy,success,modified,success
AttachUserPolicy,*,unknown,failure
ChangePassword,success,modified,success
ChangePassword,*,unknown,failure
CreateAccessKey,success,created,success
CreateAccessKey,*,unknown,failure
CreateAccountAlias,success,created,success
CreateAccountAlias,*,unknown,failure
CreateGroup,success,created,success
CreateGroup,*,unknown,failure
CreateInstanceProfile,success,created,success
CreateInstanceProfile,*,unknown,failure
CreateLoginProfile,success,created,success
CreateLoginProfile,*,unknown,failure
CreateOpenIDConnectProvider,success,created,success
CreateOpenIDConnectProvider,*,unknown,failure
CreatePolicy,success,created,success
CreatePolicy,*,unknown,failure
