x_edge_location,edge_location_name
AMS*,Amsterdam (The Netherlands)
ARN*,Stockholm (Sweden)
ATL*,Atlanta (Georgia)
BOM*,Mumbai (India)
CDG*,Paris (France)
DEL*,Paris (France)
DFW*,Dallas (Texas)
DUB*,Dublin (Ireland)
EWR*,Newark (New Jersey)
FRA*,Frankfurt (Germany)
GRU*,Sau Paulo (Brazil)
GIG*,Rio de Janerio (Brazil)
HKG*,Hong Kong Island (Hong Kong)
IAD*,Ashburn (Virginia)
ICN*,Seoul (South Corea)
IND*,South Bend (Indiana)
JAX*,Jacksonville (Florida)
JFK*,New York (New York)
LAX*,Los Angeles (California)
LHR*,London (United Kingdom)
MAA*,Chennai (India)
MAD*,Madrid (Spain)
MEL*,Melbourne (Australia)
MIA*,Miami (Florida)
MNL*,Manila (Philippines)
MRS*,Marseille (France)
MXP*,Milan (Italy)
NRT*,Tokyo (Japan)
SEA*,Seattle (Washington)
SFO*,San Francisco (California)
SIN*,Republic of Singapore
STL*,St. Louis (Missouri)
SYD*,Sydney (Australia)
TPE*,Taipei (Taiwan)
WAW*,Warsaw (Poland)
YTO*,Toronto (Canada)
YUL*,Montreal (Canada)
