protocol_code,protocol,protocol_full_name
0,HOPOPT,IPv6 Hop-by-Hop Option
1,ICMP,Internet Control Message
2,IGMP,Internet Group Management
3,GGP,Gateway-to-Gateway
4,IPv4,IPv4 encapsulation
5,ST,Stream
6,TCP,Transmission Control
7,CBT,CBT
8,EGP,Exterior Gateway Protocol
9,IGP,any private interior gateway (used by Cisco for their IGRP)
10,BBN-RCC-MON,BBN RCC Monitoring
11,NVP-II,Network Voice Protocol
12,PUP,PUP
13,ARGUS,ARGUS
14,EMCON,EMCON
15,XNET,Cross Net Debugger
16,CHAOS,Chaos
17,UDP,User Datagram
18,MUX,Multiplexing
19,DCN-MEAS,DCN Measurement Subsystems
20,HMP,Host Monitoring
21,PRM,Packet Radio Measurement
22,XNS-IDP,XEROX NS IDP
23,TRUNK-1,Trunk-1
24,TRUNK-2,Trunk-2
25,LEAF-1,Leaf-1
26,LEAF-2,Leaf-2
27,RDP,Reliable Data Protocol
28,IRTP,Internet Reliable Transaction
29,ISO-TP4,ISO Transport Protocol Class 4
30,NETBLT,Bulk Data Transfer Protocol
31,MFE-NSP,MFE Network Services Protocol
32,MERIT-INP,MERIT Internodal Protocol
33,DCCP,Datagram Congestion Control Protocol
34,3PC,Third Party Connect Protocol
35,IDPR,Inter-Domain Policy Routing Protocol
36,XTP,XTP
37,DDP,Datagram Delivery Protocol
38,IDPR-CMTP,IDPR Control Message Transport Proto
39,TP++,TP++ Transport Protocol
40,IL,IL Transport Protocol
41,IPv6,IPv6 encapsulation
42,SDRP,Source Demand Routing Protocol
43,IPv6-Route,Routing Header for IPv6
44,IPv6-Frag,Fragment Header for IPv6
45,IDRP,Inter-Domain Routing Protocol
46,RSVP,Reservation Protocol
47,GRE,Generic Routing Encapsulation
48,DSR,Dynamic Source Routing Protocol
49,BNA,BNA
50,ESP,Encap Security Payload
51,AH,Authentication Header
52,I-NLSP,Integrated Net Layer Security TUBA
53,SWIPE (deprecated),IP with Encryption
54,NARP,NBMA Address Resolution Protocol
55,MOBILE,IP Mobility
56,TLSP,Transport Layer Security Protocol using Kryptonet key management
57,SKIP,SKIP
58,IPv6-ICMP,ICMP for IPv6
59,IPv6-NoNxt,No Next Header for IPv6
60,IPv6-Opts,Destination Options for IPv6
61,None,any host internal protocol
62,CFTP,CFTP
63,None,any local network
64,SAT-EXPAK,SATNET and Backroom EXPAK
65,KRYPTOLAN,Kryptolan
66,RVD,MIT Remote Virtual Disk Protocol
67,IPPC,Internet Pluribus Packet Core
68,None,any distributed file system
69,SAT-MON,SATNET Monitoring
