instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
t2.micro,cn-north-1,Linux,Shared,NA,0.106,716,460,0.031,0.084
t2.small,cn-north-1,Linux,Shared,NA,0.212,1434,921,0.062,0.168
t2.medium,cn-north-1,Linux,Shared,NA,0.426,2868,1841,0.124,0.336
t2.large,cn-north-1,Linux,Shared,NA,0.851,5736,3682,0.248,0.672
t2.xlarge,cn-north-1,Linux,Shared,NA,1.696,11476,5856,0.6683150684931507,1.562
t2.2xlarge,cn-north-1,Linux,Shared,NA,3.392,22946,11705,1.3366164383561645,3.13
m3.medium,cn-north-1,Linux,Shared,NA,0.868,2124,1406,0.087,0.289
m3.large,cn-north-1,Linux,Shared,NA,1.735,4255,2818,0.174,0.578
m3.xlarge,cn-north-1,Linux,Shared,NA,3.471,8503,5629,0.348,1.156
m3.2xlarge,cn-north-1,Linux,Shared,NA,6.942,17016,11258,0.6970000000000001,2.312
m4.large,cn-north-1,Linux,Shared,NA,1.405,3813,1945,0.22206849315068494,0.52
m4.xlarge,cn-north-1,Linux,Shared,NA,2.815,7680,3919,0.4473287671232877,1.047
t2.micro,cn-north-1,RHEL,Shared,NA,0.479,3919,460,0.404,0.457
t2.small,cn-north-1,RHEL,Shared,NA,0.586,4636,921,0.43500000000000005,0.541
t2.medium,cn-north-1,RHEL,Shared,NA,0.799,6079,1841,0.498,0.709
t2.large,cn-north-1,RHEL,Shared,NA,1.224,9001,3682,0.621,1.045
t2.xlarge,cn-north-1,RHEL,Shared,NA,2.1,15010,5856,1.072178082191781,1.965
t2.2xlarge,cn-north-1,RHEL,Shared,NA,4.267,30613,11705,2.211657534246575,4.005
m3.medium,cn-north-1,RHEL,Shared,NA,1.241,5326,1406,0.4600000000000001,0.662
m3.large,cn-north-1,RHEL,Shared,NA,2.109,7457,2818,0.547,0.951
m3.xlarge,cn-north-1,RHEL,Shared,NA,3.844,11714,5629,0.722,1.529
m3.2xlarge,cn-north-1,RHEL,Shared,NA,7.75,23952,11258,1.5050000000000001,3.12
m4.large,cn-north-1,RHEL,Shared,NA,1.796,7247,1945,0.6140684931506849,0.912
m4.xlarge,cn-north-1,RHEL,Shared,NA,3.207,11114,3919,0.8393287671232879,1.439
t2.micro,cn-north-1,SUSE,Shared,NA,0.168,1168,597,0.068,0.139
t2.small,cn-north-1,SUSE,Shared,NA,0.399,2666,1468,0.14300000000000002,0.321
t2.medium,cn-north-1,SUSE,Shared,NA,1.048,4637,2936,0.205,0.563
