instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
i3.8xlarge,ca-central-1,Linux,Shared,NA,2.752,15356.0,7835.0,0.894,1.882
d2.2xlarge,eu-central-1,Windows,Dedicated,SQL Server Enterprise,5.115,37289.0,18724.0,2.137,4.429
x1.32xlarge,us-east-1,Windows,Dedicated,SQL Std,61.682,490692.0,246032.0,28.086,48.727
i2.2xlarge,ap-northeast-2,SUSE,Shared,NA,2.101,9437.0,4843.0,0.546,1.28
i3.4xlarge,sa-east-1,Windows,Dedicated,NA,3.253,20491.0,10389.0,1.186,2.455
i2.xlarge,eu-west-1,SUSE,Dedicated,NA,1.132,4464.0,2196.0,0.27,0.606
r4.16xlarge,us-west-2,Windows,Dedicated,SQL Std,25.222,205584.0,103016.0,11.76,23.654
r3.large,ap-southeast-2,Windows,Dedicated,NA,0.343,2180.0,1448.0,0.088,0.296
c4.xlarge,eu-west-1,Windows,Shared,SQL Web,0.651,3653.0,1857.0,0.213,0.41
r4.large,eu-central-1,SUSE,Shared,NA,0.26005,1114.0,597.0,0.061,0.1338
t2.large,us-west-1,Windows,Shared,NA,0.15,972.0,491.0,0.057,0.117
c3.2xlarge,ap-southeast-1,RHEL,Dedicated,NA,0.712,4436.0,1569.0,0.338,0.574
c4.8xlarge,us-west-1,Windows,Dedicated,SQL Web,4.283,25653.0,13089.0,1.494,3.498
i3.8xlarge,us-east-1,Windows,Dedicated,SQL Server Enterprise,16.218,133335.0,66824.0,7.628,15.357
r4.4xlarge,us-gov-west-1,SUSE,Shared,NA,1.3768,6867.0,3531.0,0.396,0.8394
cc2.8xlarge,us-east-1,Linux,Shared,NA,2.0,7999.0,5000.0,0.361,1.09
m1.large,us-west-1,SUSE,Dedicated,NA,0.309,1428.0,736.0,0.083,0.189
r3.4xlarge,us-west-2,SUSE,Dedicated,NA,1.563,7089.0,4699.0,0.289,0.953
d2.8xlarge,us-west-1,Linux,Dedicated,NA,6.25,28845.0,14717.0,1.68,3.931
c3.large,ap-southeast-1,Linux,Shared,NA,0.132,726.0,356.0,0.044,0.098
m1.large,sa-east-1,Windows,Dedicated,NA,0.393,3004.0,1379.0,0.193,0.364
m4.10xlarge,us-east-2,SUSE,Shared,NA,2.1,11150.0,5344.0,0.646,1.513
