key,value,type,"aws_account_id"
AZs,"eu-west-2a","AWS::EC2::Subnet",446537062602
AZs,"eu-west-2b","AWS::EC2::Subnet",446537062602
Dependencies,"mgmt-01-rancher-server-asg","AWS::AutoScaling::AutoScalingGroup",446537062602
Dependencies,"mgmt-01-rancher-server-asg","AWS::EC2::Instance",446537062602
Dependencies,"stratauth-01-rancher-server-asg","AWS::AutoScaling::AutoScalingGroup",446537062602
Dependencies,"stratauth-01-rancher-server-asg","AWS::EC2::Instance",446537062602
Env,mgmt,"AWS::AutoScaling::AutoScalingGroup",446537062602
Env,mgmt,"AWS::EC2::Instance",446537062602
Env,mgmt,"AWS::EC2::InternetGateway",446537062602
Env,mgmt,"AWS::EC2::RouteTable",446537062602
Env,mgmt,"AWS::EC2::SecurityGroup",446537062602
Env,mgmt,"AWS::EC2::Subnet",446537062602
Env,mgmt,"AWS::EC2::VPC",446537062602
Env,mgmt,"AWS::ElasticLoadBalancingV2::LoadBalancer",446537062602
Env,mgmt,"AWS::RDS::DBInstance",446537062602
Env,mgmt,"AWS::RDS::DBSubnetGroup",446537062602
Env,opentest,"AWS::RDS::DBSubnetGroup",446537062602
Env,stratauth,"AWS::AutoScaling::AutoScalingGroup",446537062602
Env,stratauth,"AWS::EC2::Instance",446537062602
Env,stratauth,"AWS::EC2::InternetGateway",446537062602
Env,stratauth,"AWS::EC2::RouteTable",446537062602
Env,stratauth,"AWS::EC2::SecurityGroup",446537062602
Env,stratauth,"AWS::EC2::Subnet",446537062602
Env,stratauth,"AWS::EC2::VPC",446537062602
Env,stratauth,"AWS::ElasticLoadBalancing::LoadBalancer",446537062602
Env,stratauth,"AWS::ElasticLoadBalancingV2::LoadBalancer",446537062602
Env,stratauth,"AWS::RDS::DBInstance",446537062602
Env,stratauth,"AWS::RDS::DBSubnetGroup",446537062602
"IAM_ROLE","mgmt-01-ecsFromRancher","AWS::AutoScaling::AutoScalingGroup",446537062602
"IAM_ROLE","mgmt-01-ecsFromRancher","AWS::EC2::Instance",446537062602
"IAM_ROLE","mgmt-01-secretsFromRancher","AWS::AutoScaling::AutoScalingGroup",446537062602
"IAM_ROLE","mgmt-01-secretsFromRancher","AWS::EC2::Instance",446537062602
"IAM_ROLE","stratauth-01-ecsFromRancher","AWS::AutoScaling::AutoScalingGroup",446537062602
"IAM_ROLE","stratauth-01-ecsFromRancher","AWS::EC2::Instance",446537062602
Name,Test,"AWS::EC2::Subnet",446537062602
Name,"auth-audit-rds-rds-5432-sg","AWS::EC2::SecurityGroup",446537062602
Name,default,"AWS::EC2::InternetGateway",446537062602
Name,default,"AWS::EC2::RouteTable",446537062602
Name,default,"AWS::EC2::SecurityGroup",446537062602
Name,default,"AWS::EC2::VPC",446537062602
Name,"mgmt-01-frontedge-subnet","AWS::EC2::Subnet",446537062602
Name,"mgmt-01-igw","AWS::EC2::InternetGateway",446537062602
Name,"mgmt-01-private-subnet","AWS::EC2::Subnet",446537062602
Name,"mgmt-01-r-host-grafana-alb","AWS::ElasticLoadBalancingV2::LoadBalancer",446537062602
Name,"mgmt-01-r-host-grafana-alb-sg","AWS::EC2::SecurityGroup",446537062602
Name,"mgmt-01-r-host-mgmt-alb","AWS::ElasticLoadBalancingV2::LoadBalancer",446537062602
Name,"mgmt-01-r-host-mgmt-alb-sg","AWS::EC2::SecurityGroup",446537062602
Name,"mgmt-01-r-host-prometheus-alb","AWS::ElasticLoadBalancingV2::LoadBalancer",446537062602
Name,"mgmt-01-r-host-prometheus-alb-sg","AWS::EC2::SecurityGroup",446537062602
Name,"mgmt-01-r-host-splunk-alb","AWS::ElasticLoadBalancingV2::LoadBalancer",446537062602
Name,"mgmt-01-r-host-splunk-alb-sg","AWS::EC2::SecurityGroup",446537062602
Name,"mgmt-01-rancher-host-mgmt-asg","AWS::AutoScaling::AutoScalingGroup",446537062602
Name,"mgmt-01-rancher-host-mgmt-asg","AWS::EC2::Instance",446537062602
Name,"mgmt-01-rancher-host-mgmt-sg","AWS::EC2::SecurityGroup",446537062602
