"network_traffic",name
"11168062300.0","i-00bafd560a7ba229a"
"7363327582.0","i-03c31b94514a1ee19"
"826589577.0","i-04be5a6f86c432c40"
"265146733.0","i-0500e75faedd0eff4"
"10393856595.0","i-05022ec0190c08338"
"228719491.0","i-0592876386b06b247"
"1346594458.0","i-07c385171f5b93653"
"5587713290521.0","i-0879a8cb8d6df42a9"
"329068351.0","i-0a4bf662bd9d684d7"
"1846303182.0","i-0a8c060b259338a65"
"432131471.0","i-0b2925f1332240878"
"12688949651.0","i-0ccc1299423f6a15a"
"2495342972.0","i-0fee968f92301ef7d"
