name,port,protocol
blackjack,1025,TCP
blackjack,1025,UDP
cap,1026,TCP
cap,1026,UDP
6a44,1027,UDP
,1027,TCP
solid-mux,1029,TCP
solid-mux,1029,UDP
netinfo-local,1033,TCP
netinfo-local,1033,UDP
activesync,1034,TCP
activesync,1034,UDP
mxxrlogin,1035,TCP
mxxrlogin,1035,UDP
nsstp,1036,TCP
nsstp,1036,UDP
ams,1037,TCP
ams,1037,UDP
mtqp,1038,TCP
mtqp,1038,UDP
sbl,1039,TCP
sbl,1039,UDP
netarx,1040,TCP
netarx,1040,UDP
danf-ak2,1041,TCP
danf-ak2,1041,UDP
afrog,1042,TCP
afrog,1042,UDP
boinc-client,1043,TCP
boinc-client,1043,UDP
dcutility,1044,TCP
dcutility,1044,UDP
fpitp,1045,TCP
fpitp,1045,UDP
wfremotertm,1046,TCP
wfremotertm,1046,UDP
neod1,1047,TCP
neod1,1047,UDP
neod2,1048,TCP
neod2,1048,UDP
td-postman,1049,TCP
td-postman,1049,UDP
cma,1050,TCP
cma,1050,UDP
optima-vnet,1051,TCP
optima-vnet,1051,UDP
ddt,1052,TCP
ddt,1052,UDP
remote-as,1053,TCP
remote-as,1053,UDP
brvread,1054,TCP
brvread,1054,UDP
ansyslmd,1055,TCP
ansyslmd,1055,UDP
vfo,1056,TCP
vfo,1056,UDP
startron,1057,TCP
startron,1057,UDP
nim,1058,TCP
nim,1058,UDP
nimreg,1059,TCP
nimreg,1059,UDP
polestar,1060,TCP
polestar,1060,UDP
kiosk,1061,TCP
kiosk,1061,UDP
veracity,1062,TCP
veracity,1062,UDP
kyoceranetdev,1063,TCP
kyoceranetdev,1063,UDP
jstel,1064,TCP
jstel,1064,UDP
syscomlan,1065,TCP
syscomlan,1065,UDP
fpo-fns,1066,TCP
fpo-fns,1066,UDP
instl-boots,1067,TCP
instl_boots,1067,TCP
instl-boots,1067,UDP
instl_boots,1067,UDP
instl-bootc,1068,TCP
instl_bootc,1068,TCP
instl-bootc,1068,UDP
instl_bootc,1068,UDP
cognex-insight,1069,TCP
cognex-insight,1069,UDP
gmrupdateserv,1070,TCP
gmrupdateserv,1070,UDP
bsquare-voip,1071,TCP
bsquare-voip,1071,UDP
cardax,1072,TCP
cardax,1072,UDP
bridgecontrol,1073,TCP
bridgecontrol,1073,UDP
warmspotMgmt,1074,TCP
warmspotMgmt,1074,UDP
rdrmshc,1075,TCP
rdrmshc,1075,UDP
dab-sti-c,1076,TCP
dab-sti-c,1076,UDP
imgames,1077,TCP
imgames,1077,UDP
avocent-proxy,1078,TCP
avocent-proxy,1078,UDP
asprovatalk,1079,TCP
asprovatalk,1079,UDP
socks,1080,TCP
socks,1080,UDP
pvuniwien,1081,TCP
pvuniwien,1081,UDP
amt-esd-prot,1082,TCP
amt-esd-prot,1082,UDP
ansoft-lm-1,1083,TCP
ansoft-lm-1,1083,UDP
ansoft-lm-2,1084,TCP
ansoft-lm-2,1084,UDP
webobjects,1085,TCP
webobjects,1085,UDP
cplscrambler-lg,1086,TCP
cplscrambler-lg,1086,UDP
cplscrambler-in,1087,TCP
cplscrambler-in,1087,UDP
cplscrambler-al,1088,TCP
cplscrambler-al,1088,UDP
ff-annunc,1089,TCP
ff-annunc,1089,UDP
ff-fms,1090,TCP
ff-fms,1090,UDP
ff-sm,1091,TCP
ff-sm,1091,UDP
obrpd,1092,TCP
obrpd,1092,UDP
proofd,1093,TCP
proofd,1093,UDP
rootd,1094,TCP
rootd,1094,UDP
nicelink,1095,TCP
nicelink,1095,UDP
cnrprotocol,1096,TCP
cnrprotocol,1096,UDP
sunclustermgr,1097,TCP
sunclustermgr,1097,UDP
rmiactivation,1098,TCP
rmiactivation,1098,UDP
rmiregistry,1099,TCP
rmiregistry,1099,UDP
mctp,1100,TCP
mctp,1100,UDP
pt2-discover,1101,TCP
pt2-discover,1101,UDP
adobeserver-1,1102,TCP
adobeserver-1,1102,UDP
adobeserver-2,1103,TCP
adobeserver-2,1103,UDP
xrl,1104,TCP
xrl,1104,UDP
ftranhc,1105,TCP
ftranhc,1105,UDP
isoipsigport-1,1106,TCP
isoipsigport-1,1106,UDP
isoipsigport-2,1107,TCP
isoipsigport-2,1107,UDP
ratio-adp,1108,TCP
ratio-adp,1108,UDP
webadmstart,1110,TCP
nfsd-keepalive,1110,UDP
lmsocialserver,1111,TCP
lmsocialserver,1111,UDP
icp,1112,TCP
icp,1112,UDP
ltp-deepspace,1113,TCP
ltp-deepspace,1113,UDP
ltp-deepspace,1113,DCCP
mini-sql,1114,TCP
mini-sql,1114,UDP
ardus-trns,1115,TCP
ardus-trns,1115,UDP
ardus-cntl,1116,TCP
ardus-cntl,1116,UDP
ardus-mtrns,1117,TCP
ardus-mtrns,1117,UDP
sacred,1118,TCP
sacred,1118,UDP
bnetgame,1119,TCP
bnetgame,1119,UDP
bnetfile,1120,TCP
bnetfile,1120,UDP
rmpp,1121,TCP
rmpp,1121,UDP
availant-mgr,1122,TCP
availant-mgr,1122,UDP
murray,1123,TCP
murray,1123,UDP
hpvmmcontrol,1124,TCP
hpvmmcontrol,1124,UDP
hpvmmagent,1125,TCP
hpvmmagent,1125,UDP
hpvmmdata,1126,TCP
hpvmmdata,1126,UDP
kwdb-commn,1127,TCP
kwdb-commn,1127,UDP
saphostctrl,1128,TCP
saphostctrl,1128,UDP
saphostctrls,1129,TCP
saphostctrls,1129,UDP
casp,1130,TCP
casp,1130,UDP
caspssl,1131,TCP
caspssl,1131,UDP
kvm-via-ip,1132,TCP
kvm-via-ip,1132,UDP
dfn,1133,TCP
dfn,1133,UDP
aplx,1134,TCP
aplx,1134,UDP
omnivision,1135,TCP
omnivision,1135,UDP
hhb-gateway,1136,TCP
hhb-gateway,1136,UDP
trim,1137,TCP
trim,1137,UDP
encrypted-admin,1138,TCP
encrypted_admin,1138,TCP
